; This file describes the collections of curated position-specific
; scoring matrices (PSSM) used by the tools compare-matrices and
; peak-motifs, in order to compare discovered motifs with those bound
; by known transcription factors.
;
; Column description
;	1	DB_NAME	Database name
;	2	FORMAT	Matrix format (see convert-matrices for supported formats)
;	3	FILE    Matrix file (path relative to the motif DB directory ${RSAT}/data/motif_databases/)
;	4	DESCR	Human-readable description of the database (source, data type, ...)
;	5	VERSION	Version (date) of the import
;	6	URL	URL from the file from which matrices were obtained
;	7	LABEL	label to group in the web matrix selector
;	8	DATABASE	source database
#COLLECTION	FORMAT	FILE	DESCR	VERSION	URL	CATEGORY	DATABASE
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Fungi motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yeastract	tf	Yeastract/yeastract_20150629.tf	Yeastract s_cerevisiae	20130918	http://www.yeastract.com/	Fungi	Yeastract
DBTBS	tf	DBTBS/DBTBS_2015-11-06.tf	DBTBS (Bacillus Subtilis)	2015-11	http://dbtbs.hgc.jp/	Prokaryotes	DBTBS
regulonDB	tf	REGULONDB/regulonDB_2015-08-07.tf	RegulonDB prokaryotes	2015_08	http://regulondb.ccg.unam.mx/	Prokaryotes	regulonDB
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Vertebrates motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENCODE	tf	ENCODE/encode-motifs_Kheradpour_Kellis_NAR2013.tf	ENCODE (Human TFs)	2018-03	https://www.ncbi.nlm.nih.gov/pubmed/24335146	Vertebrates	ENCODE
epigram	tf	Epigram/epigram_motifs.tf	Epigram (Human Histone marks related motifs)	2016-06	http://wanglab.ucsd.edu/star/epigram/	Vertebrates	epigram
Hocomoco_human	tf	HOCOMOCO/HOCOMOCO_2017-10-17_Human.tf	Hocomoco (Human TFs)	2017-10	http://hocomoco11.autosome.ru/	Vertebrates	Hocomoco
Hocomoco_mouse	tf	HOCOMOCO/HOCOMOCO_2017-10-17_Mouse.tf	Hocomoco (Mouse TFs)	2017-10	http://hocomoco11.autosome.ru/	Vertebrates	Hocomoco
Homer	tf	Homer/Homer_motifs.tf	Homer (Human TF motifs)	2016-07	http://homer.salk.edu/homer/motif/motifDatabase.html	Vertebrates	Homer
hPDI	tf	hPDI/hPDI_matrices.tf	hPDI (Human TFs identified by protein microarray assays)	2016-06	http://bioinfo.wilmer.jhu.edu/PDI/	Vertebrates	hPDI
HT_Methyl_Selex	tf	HT_Selex/Methyl_SELEX_human_TFs.tf	HT-Methyl-Selex (Human TFs)	2018-03	http://science.sciencemag.org/content/356/6337/eaaj2239.long	Vertebrates	HT_Selex
HT_Selex	tf	HT_Selex/SELEX_human_TFs.tf	HT-Selex (Human TFs)	2018-03	http://science.sciencemag.org/content/356/6337/eaaj2239.long	Vertebrates	HT_Selex
Jolma_2013	tf	Jolma_2013/Jolma_2013_2015-11-06.tf	Jolma_2013 (Human TFs)	2015-11	http://www.cell.com/abstract/S0092-8674%2812%2901496-1	Vertebrates	Jolma
Jolma_2015	tf	Jolma_2015/Jolma_TF_dimers_2015.tf	Human_TF_dimers (Human TFs dimers)	2016-05	http://www.nature.com/nature/journal/v527/n7578/full/nature15518.html	Vertebrates	Jolma
NCAP-SELEX	tf	NCAP_SELEX_motifs.tf	NCAP-SELEX (HUMAN TFs)	2018-09	https://doi.org/10.1038/s41586-018-0549-5	Vertebrates	CAP-SELEX
CAP-SELEX	tf	NCAP-SELEX/CAP_SELEX_motifs.tf CAP-SELEX (HUMAN TFs)		2018-09	https://doi.org/10.1038/s41586-018-0549-5	Vertebrates	CAP-SELEX
ZF_ChIP-exo	tf	Zinc_fingers_Dogan2020/Zinc_fingers_ChIP-exo.tf (C2H2 zinc fingers)	2020-07	https://www.biorxiv.org/content/10.1101/630756v4	Vertebrates	ZF_ChIP-exo
ZF_ChIP-seq	tf	Zinc_fingers_Dogan2020/Zinc_fingers_ChIP-seq.tf (C2H2 zinc fingers)	2020-07	https://www.biorxiv.org/content/10.1101/630756v4	Vertebrates	ZF_ChIP-seq
;
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; MethMotif databases - Separated by cell types ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
MethMotif_A549	tf	MethMotif_cell_types/A549_MethMotif.tf	Methylated motifs A549 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_GM12878	tf	MethMotif_cell_types/GM12878_MethMotif.tf	Methylated motifs GM12878 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_H1-hESC	tf	MethMotif_cell_types/H1-hESC_MethMotif.tf	Methylated motifs H1-hESC (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_HCT116	tf	MethMotif_cell_types/HCT116_MethMotif.tf	Methylated motifs HCT116 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_HEK293	tf	MethMotif_cell_types/HEK293_MethMotif.tf	Methylated motifs HEK293 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_HEK293T	tf	MethMotif_cell_types/HEK293T_MethMotif.tf	Methylated motifs HEK293T (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_HeLa-S3	tf	MethMotif_cell_types/HeLa-S3_MethMotif.tf	Methylated motifs HeLa-S3 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_HepG2	tf	MethMotif_cell_types/HepG2_MethMotif.tf	Methylated motifs HepG2 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_IMR-90	tf	MethMotif_cell_types/IMR-90_MethMotif.tf	Methylated motifs IMR-90 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_K562	tf	MethMotif_cell_types/K562_MethMotif.tf	Methylated motifs K562 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_MCF-7	tf	MethMotif_cell_types/MCF-7_MethMotif.tf	Methylated motifs MCF-7 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_SK-N-SH	tf	MethMotif_cell_types/SK-N-SH_MethMotif.tf	Methylated motifs SK-N-SH (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
MethMotif_SNU398	tf	MethMotif_cell_types/SNU398_MethMotif.tf	Methylated motifs SNU398 (Human TFs)	2018-11	https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky1005/5150233	Vertebrates	MethMotif
;
;
;;;;;;;;;;;;
;; Cis-BP ;;
;;;;;;;;;;;;
cisBP_human	tf	cisBP/cisBP_Homo_sapiens_2014-10.tf	cisBP human	2014-10_v0.9	http://cisbp.ccbr.utoronto.ca/	Vertebrates	cisBP
cisBP_mouse	tf	cisBP/cisBP_Mus_musculus_2014-10.tf	cisBP mouse	2014-10_v0.9	http://cisbp.ccbr.utoronto.ca/	Vertebrates	cisBP
cisBP_drosophila	tf	cisBP/cisBP_Drosophila_melanogaster_2014-10.tf	cisBP drosophila	2014-10_v0.9	http://cisbp.ccbr.utoronto.ca/	Non-vertebrate Metazoa	cisBP
cisBP_C.elegans	tf	cisBP/cisBP_Caenorhabditis_elegans_2015-05.tf	cisBP c_elegans	2015-05_v1.02	http://cisbp.ccbr.utoronto.ca/	Non-vertebrate Metazoa	cisBP
cisBP_S.cerevisiae	tf	cisBP/cisBP_Saccharomyces_cerevisiae_2015-06.tf	cisBP s_cerevisiae	2015-06_v1.02	http://cisbp.ccbr.utoronto.ca/	Fungi	cisBP
cisBP_A_thaliana	tf	cisBP/CisBp_A_thaliana.tf	cisBP a_thaliana	2015-06_v1.02	http://cisbp.ccbr.utoronto.ca/	Plants	cisBP
;
;;;;;;;;;;;;;;;;;
;; FootprintDB ;;
;;;;;;;;;;;;;;;;;
footprintDB-plants	tf	footprintDB/footprintDB.plants.motif.tf	footprintDB-plants [only plant DNA motifs]	2020-01	http://floresta.eead.csic.es/footprintdb	Plants	footprintDB
footprintDB-metazoa	tf	footprintDB/footprintDB.metazoa.motif.tf	footprintDB-metazoa [only metazoa DNA motifs]	2020-01	http://floresta.eead.csic.es/footprintdb	Non-vertebrate Metazoa	footprintDB
footprintDB	tf	footprintDB/footprintDB.motif.tf	footprintDB all	2020-01	http://floresta.eead.csic.es/footprintdb	Multi-organisms	footprintDB
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Jaspar core non-redundant (one PSSM for each TF);;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
jaspar_core_nonredundant_all	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_non-redundant_pfms.tf	JASPAR core nonredundant all	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_non-redundant_pfms_transfac.txt	Multi-organisms	Jaspar
jaspar_core_nonredundant_fungi	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_fungi_non-redundant_pfms.tf	JASPAR core nonredundant fungi	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_fungi_non-redundant_pfms_transfac.txt	Fungi	Jaspar
jaspar_core_nonredundant_insects	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_insects_non-redundant_pfms.tf	JASPAR core nonredundant insects	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_insects_non-redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_nonredundant_nematodes	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_nematodes_non-redundant_pfms.tf	JASPAR core nonredundant nematodes	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_nematodes_non-redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_nonredundant_plants	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_plants_non-redundant_pfms.tf	JASPAR core nonredundant plants	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_plants_non-redundant_pfms_transfac.txt	Plants	Jaspar
jaspar_core_nonredundant_urochordates	tf	JJASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_urochordates_non-redundant_pfms.tf	JASPAR core nonredundant urochordates	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_urochordates_non-redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_nonredundant_vertebrates	tf	JASPAR/Jaspar_2020/nonredundant/JASPAR2020_CORE_vertebrates_non-redundant_pfms.tf	JASPAR core nonredundant vertebrates	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_vertebrates_non-redundant_pfms_transfac.txt	Vertebrates	Jaspar
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Jaspar core redundant (redundant means several PSSMs (all PSSM versions across the releases) for the same TF) ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
jaspar_core_redundant_all	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_redundant_pfms.tf	JASPAR core redundant all	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_redundant_pfms_transfac.txt	Multi-organisms	Jaspar
jaspar_core_redundant_fungi	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_fungi_redundant_pfms.tf	JASPAR core redundant fungi	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_fungi_redundant_pfms_transfac.txt	Fungi	Jaspar
jaspar_core_redundant_insects	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_insects_redundant_pfms.tf	JASPAR core redundant insects	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_insects_redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_redundant_nematodes	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_nematodes_redundant_pfms.tf	JASPAR core redundant nematodes	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_nematodes_redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_redundant_plants	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_plants_redundant_pfms.tf	JASPAR core redundant plants	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_plants_redundant_pfms_transfac.txt	Plants	Jaspar
jaspar_core_redundant_urochordates	tf	JJASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_urochordates_redundant_pfms.tf	JASPAR core redundant urochordates	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_urochordates_redundant_pfms_transfac.txt	Non-vertebrate Metazoa	Jaspar
jaspar_core_redundant_vertebrates	tf	JASPAR/Jaspar_2020/redundant/JASPAR2020_CORE_vertebrates_redundant_pfms.tf	JASPAR core redundant vertebrates	2020	http://jaspar2020.genereg.net/download/CORE/JASPAR2020_CORE_vertebrates_redundant_pfms_transfac.txt	Vertebrates	Jaspar
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Jaspar Unvalidated (High-quality motifs without orthogonal supporting evidence) ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
jaspar_unvalidated	tf	JASPAR/Jaspar_2020/unvalidated/JASPAR2020_UNVALIDATED_pfms.tf	JASPAR unvalidated	2020	http://jaspar2020.genereg.net/download/collections/JASPAR2020_UNVALIDATED_pfms_transfac.txt	Multi-organisms	Jaspar
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; RSAT non-redundant motif collections ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSAT_nonredundant_vertebrates	tf	RSAT_nonredundant_vertebrates_2017.tf	 RSAT non-redundant vertebrates	2017	http://pedagogix-tagc.univ-mrs.fr/rsat/data/published_data/Castro_2016_matrix-clustering/	Vertebrates	RSAT
RSAT_nonredundant_plants	tf	RSAT_nonredundant_plants_2017.tf	 RSAT non-redundant plants	2017	http://pedagogix-tagc.univ-mrs.fr/rsat/data/published_data/Castro_2016_matrix-clustering/	Plants	RSAT
RSAT_nonredundant_insects	tf	RSAT_nonredundant_insects_2017.tf	 RSAT non-redundant insects	2017	http://pedagogix-tagc.univ-mrs.fr/rsat/data/published_data/Castro_2016_matrix-clustering/	Non-vertebrate Metazoa	RSAT
RSAT_nonredundant_insects_plants_vertebrates	tf	RSAT_nonredundant_insects_plants_vertebrates_2017.tf	 RSAT non-redundant insects+plants+vertebrates	2017	http://pedagogix-tagc.univ-mrs.fr/rsat/data/published_data/Castro_2016_matrix-clustering/	Multi-organisms	RSAT
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; RNA motif databases (from Mathieu Bahin) ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATtRACT	tf	ATtRACT/ATtRACT_2017_12.tf	 ATtRACT	2017	https://attract.cnic.es/download	RNA binding	ATtRACT
RBPDB	tf	RBPDB/RBPDB_2017_12.tf	 RBPDB	2017	http://rbpdb.ccbr.utoronto.ca/downloads/PFMDir.zip	RNA binding	RBPDB
CISBP-RNA	tf	CISBP-RNA/CISBP-RNA_2017_12.tf	 CISBP-RNA	2017	http://cisbp-rna.ccbr.utoronto.ca/	RNA binding	cisBP
;
;;;;;;;;;;;;;;;;;
;; Cis-BP 2.00 ;;
;;;;;;;;;;;;;;;;;
cisBP_Acyrthosiphon_pisum	tf	cisBP2/cisBP_Acyrthosiphon_pisum_2019.tf	cisBP Acyrthosiphon_pisum	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Aedes_aegypti	tf	cisBP2/cisBP_Aedes_aegypti_2019.tf	cisBP Aedes_aegypti	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Ailuropoda_melanoleuca	tf	cisBP2/cisBP_Ailuropoda_melanoleuca_2019.tf	cisBP Ailuropoda_melanoleuca	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Amphimedon_queenslandica	tf	cisBP2/cisBP_Amphimedon_queenslandica_2019.tf	cisBP Amphimedon_queenslandica	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Anas_platyrhynchos	tf	cisBP2/cisBP_Anas_platyrhynchos_2019.tf	cisBP Anas_platyrhynchos	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Anopheles_darlingi	tf	cisBP2/cisBP_Anopheles_darlingi_2019.tf	cisBP Anopheles_darlingi	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Anopheles_gambiae	tf	cisBP2/cisBP_Anopheles_gambiae_2019.tf	cisBP Anopheles_gambiae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Apis_mellifera	tf	cisBP2/cisBP_Apis_mellifera_2019.tf	cisBP Apis_mellifera	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Arabidopsis_thaliana	tf	cisBP2/cisBP_Arabidopsis_thaliana_2019.tf	cisBP Arabidopsis_thaliana	2019-09_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php Plants		cisBP
cisBP_Astyanax_mexicanus	tf	cisBP2/cisBP_Astyanax_mexicanus_2019.tf	cisBP Astyanax_mexicanus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Atta_cephalotes	tf	cisBP2/cisBP_Atta_cephalotes_2019.tf	cisBP Atta_cephalotes	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Bombyx_mori	tf	cisBP2/cisBP_Bombyx_mori_2019.tf	cisBP Bombyx_mori	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Bos_taurus	tf	cisBP2/cisBP_Bos_taurus_2019.tf	cisBP Bos_taurus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Brugia_malayi	tf	cisBP2/cisBP_Brugia_malayi_2019.tf	cisBP Brugia_malayi	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Caenorhabditis_brenneri	tf	cisBP2/cisBP_Caenorhabditis_brenneri_2019.tf	cisBP Caenorhabditis_brenneri	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Caenorhabditis_briggsae	tf	cisBP2/cisBP_Caenorhabditis_briggsae_2019.tf	cisBP Caenorhabditis_briggsae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Caenorhabditis_elegans	tf	cisBP2/cisBP_Caenorhabditis_elegans_2019.tf	cisBP Caenorhabditis_elegans	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Caenorhabditis_japonica	tf	cisBP2/cisBP_Caenorhabditis_japonica_2019.tf	cisBP Caenorhabditis_japonica	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Caenorhabditis_remanei	tf	cisBP2/cisBP_Caenorhabditis_remanei_2019.tf	cisBP Caenorhabditis_remanei	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Callithrix_jacchus	tf	cisBP2/cisBP_Callithrix_jacchus_2019.tf	cisBP Callithrix_jacchus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Cavia_porcellus	tf	cisBP2/cisBP_Cavia_porcellus_2019.tf	cisBP Cavia_porcellus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Chlorocebus_sabaeus	tf	cisBP2/cisBP_Chlorocebus_sabaeus_2019.tf	cisBP Chlorocebus_sabaeus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Choloepus_hoffmanni	tf	cisBP2/cisBP_Choloepus_hoffmanni_2019.tf	cisBP Choloepus_hoffmanni	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Ciona_intestinalis	tf	cisBP2/cisBP_Ciona_intestinalis_2019.tf	cisBP Ciona_intestinalis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Crassostrea_gigas	tf	cisBP2/cisBP_Crassostrea_gigas_2019.tf	cisBP Crassostrea_gigas	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Culex_quinquefasciatus	tf	cisBP2/cisBP_Culex_quinquefasciatus_2019.tf	cisBP Culex_quinquefasciatus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Danaus_plexippus	tf	cisBP2/cisBP_Danaus_plexippus_2019.tf	cisBP Danaus_plexippus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Danio_rerio	tf	cisBP2/cisBP_Danio_rerio_2019.tf	cisBP Danio_rerio	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Daphnia_pulex	tf	cisBP2/cisBP_Daphnia_pulex_2019.tf	cisBP Daphnia_pulex	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Dasypus_novemcinctus	tf	cisBP2/cisBP_Dasypus_novemcinctus_2019.tf	cisBP Dasypus_novemcinctus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Dendroctonus_ponderosae	tf	cisBP2/cisBP_Dendroctonus_ponderosae_2019.tf	cisBP Dendroctonus_ponderosae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Dipodomys_ordii	tf	cisBP2/cisBP_Dipodomys_ordii_2019.tf	cisBP Dipodomys_ordii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Drosophila_ananassae	tf	cisBP2/cisBP_Drosophila_ananassae_2019.tf	cisBP Drosophila_ananassae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
